1,72.2,96.6,109.6,123.8,125,126.3,126.9,127.3,127.7,127.8,127.9,4.622,5.652,6.632,7.42,8.226,8.768,9.106,9.856,9.956,10.16,10.388
2,45.8,62.8,79,85.4,90.7,94.6,96.3,97.3,98.2,99.3,100,3.492,4.634,5.524,5.994,6.326,6.888,7.132,7.402,7.692,7.895,7.938
6,48.2,54.4,62,67,74.4,79.6,82.4,89.6,91.3,92.4,93.2,3.626,4.672,5.012,5.218,5.288,5.826,6.132,6.286,7.626,7.694,7.99
7,70.8,89.2,108.8,122,135.2,140,141.4,143.2,157.4,161.4,163,4.184,5.7018,6.212,6.75,7.076,7.62,7.872,8.354,10.072,10.522,10.822
15,60.2,100.8,116.4,140.4,153.2,155.4,155.7,155.8,155.9,156,156.1,4.13,5.321,6.296,7.678,8.516,9.066,9.194,9.368,10.832,11.072,11.272
16,67,84.4,110.4,117.8,125.6,139.8,143.8,147.2,148.4,148.8,153.2,4.4,5.066,6.052,6.914,7.674,8.454,8.808,8.888,9.048,9.79,9.882
18,55.4,82.8,100.8,122.8,132,135,136.8,140.1,140.3,140.5,140.7,3.658,4.952,5.498,6.13,7.002,7.588,7.936,8.222,8.312,8.434,8.616
19,71.8,106,136.6,153,156.2,164,170,170.4,172.2,172.6,173.4,4.314,5.794,6.778,7.69,9.442,9.898,10.1,11.658,11.766,11.876,12.32
21,49.2,70.2,82.2,93.8,105.2,122.4,131.3,136.2,138.2,139,139.5,3.59,4.978,5.708,6.348,7.52,8.023,8.16,9.098,9.376,9.692,9.55
23,45.6,64.2,86.4,100,106.2,110.4,115.2,118.3,119.2,120.8,121.3,3.598,4.594,5.57,6.138,6.506,7.238,7.312,7.418,7.596,7.884,7.9358
25,69.4,97,115.2,120.2,124.4,129.4,130.2,130.4,135,146.6,147.8,4.588,5.602,6.912,7.832,9.162,9.164,10.148,11.016,11.062,11.492,11.82
26,62.8,92.4,111.8,121.4,127.8,133.8,138,139.6,142.8,143.4,144.1,3.918,5.056,5.866,6.486,7.418,7.668,8.556,9.298,9.6,10.038,10.297
29,52.4,74.6,89.8,111.6,121.2,125.6,128.3,129.6,130.4,130.5,130.6,3.968,4.77,5.964,6.548,7.154,7.534,8.164,9.506,9.898,9.928,10.144
30,64.6,99.2,126.6,145.4,150.6,156.4,159.7,163.2,164.3,165.3,165.9,4.224,5.782,6.56,7.162,7.742,8.642,9.224,10.006,10.274,10.438,10.698
31,61.4,90.6,119.6,139.6,141.4,146.8,154.8,156.2,157.8,158.4,158.8,3.69,5.348,6.386,7.064,7.142,7.978,8.63,9.082,9.888,10.798,10.892
32,40.6,56.6,64.8,66,66.6,70.2,75.4,77.6,77.8,78.2,78.3,3.914,4.42,5.314,5.614,6.808,6.856,6.858,7.308,7.622,7.896,8.462
35,49.2,76.2,99.8,122.2,128.6,129.6,133,136.4,138.8,139.2,139.3,3.388,4.546,5.684,6.83,8.048,8.376,9.858,10.328,10.674,11.308,11.418
38,42,50.8,51.4,57,62.4,72.4,72.6,74.2,74.8,75.1,75.3,3.42,4.398,4.95,5.258,5.464,6.018,6.226,6.722,6.823,6.896,7.086
39,37.4,52.4,68.6,84.4,95.8,101.4,108.2,110.2,110.4,110.5,110.6,3.068,3.956,4.472,4.926,5.664,6.174,6.644,7.202,7.558,7.868,8.038
41,42.8,56.2,66.2,70.6,70.8,71,71.1,71.2,71.3,71.4,71.5,3.362,4.284,4.868,5.182,5.878,5.934,6.084,6.794,6.806,6.986,7.042
43,46.2,67.4,81.4,83.6,91.4,99,100,106.3,109.3,120.7,122.8,3.704,4.354,5.032,5.534,6.294,6.78,6.897,7.156,7.143,7.348,7.563
47,58.4,71.6,85.8,90,93.4,101,101.4,101.8,102.3,102.6,102.7,4.368,5.172,5.734,6.516,6.936,7.682,9.766,10.172,10.504,10.653,10.698
47,71.6,102.6,115,118,126.6,132.7,138.5,139.8,140.3,142.6,143.2,4.294,5.362,6.046,6.616,7.164,7.458,7.628,8.756,9.256,9.524,9.714
51,38.4,56,66.6,71.8,77.4,81.2,82.2,83,84.6,84.8,84.9,2.844,3.682,4.198,4.532,5.354,5.398,5.836,6.066,6.282,6.678,6.818
52,40.4,53.6,66.6,78.8,90,102.3,111.3,120.3,127.4,130.2,132.5,3.38,4.326,4.966,5.918,6.644,7.514,8.08,8.284,8.602,8.784,8.942
53,57.2,82.6,105,127.4,140.8,146.4,154.2,155.2,161.6,162.4,163.2,3.918,4.772,5.618,6.632,7.42,8.934,9.183,9.392,9.484,9.492,9.534
54,79.2,115.4,137,157.4,167.6,170.2,174.62,176.84,178.23,180,180.1,4.488,5.986,6.904,7.842,8.43,9.436,9.956,10.342,11.011,11.987,12.0123
55,52.8,71.6,88.4,99,110.6,116.9,117.4,118.1,119.4,120.2,120.6,3.428,4.214,5.114,5.694,6.43,6.486,7.102,7.512,7.562,7.874,8.12
58,59.3,66.7,71.4,74.3,75.9,76.7,77.2,77.5,77.6,77.7,77.8,3.99,4.73,5.36,5.86,6.22,6.48,6.66,6.77,6.85,6.9,6.93
60,53.6,62.4,74.8,87.2,101.8,104.8,106.6,107.5,108.5,109,109.2,4.47,5.324,6.318,6.878,7.5,8.102,9.428,9.624,10.425,11.427,11.864
61,65,83,90.2,105.6,110.6,112,114.4,116.6,117.2,118.6,118.9,4.202,5.594,6.398,7.048,7.53,7.567,8.236,8.78,9.068,9.098,9.198
62,62.4,91,106.2,126.4,135.4,141.2,151,152.2,153.1,153.8,153.9,4.232,5.358,6.106,7.028,7.598,8.462,9.244,9.93,10.18,10.23,10.42
68,67.4,99.2,119,135.8,141.4,142.2,145.3,146.7,147.4,147.6,147.7,4.416,5.56,6.268,7.244,8.22,8.886,9.406,9.806,9.949,10.172,10.198
71,55.6,79.8,95.4,108.8,112.6,120.4,120.8,121.3,121.4,121.5,121.6,3.916,4.686,5.578,6.052,6.912,7.45,8.006,8.69,8.532,8.996,9.108
76,53,87,106,128,149.2,152.2,155.4,156.4,158.3,158.9,160.2,3.718,4.96,5.992,6.698,7.472,8.012,8.32,8.798,8.9,9.422,9.53
78,61.2,92,115.8,129.6,134.8,137.8,140.4,140.8,141.4,141.6,141.7,4.514,5.924,7.062,8.332,9.23,9.566,11.036,11.746,11.766,12.242,12.37
80,63.2,91,115.2,147.6,153.6,154.8,155.4,155.9,156.1,156.2,156.3,4.242,5.266,6.204,7.18,8.068,8.224,9.046,9.112,9.364,9.902,10.036
81,51.6,74.6,82,87,88.4,88.6,88.9,91.3,91.9,92.2,92.8,4.304,5.048,5.936,6.638,7.116,7.366,8.178,8.848,9.242,9.596,9.834
82,57.2,89.4,110.8,124,129.6,131.6,134.6,135.3,135.9,136.1,136.2,4.286,5.554,5.914,6.752,7.702,8.22,8.726,9.172,9.994,10.2,10.354
84,65.4,93.4,113.6,132.4,139,141.4,149.4,150.8,164.2,169.4,169.8,4.25,5.358,6.156,7.114,8.176,8.888,9.544,10.496,10.882,11.043,11.472
86,66,82.4,90.8,96.4,100.5,107.4,109.4,112.1,113.5,114.4,115,4.864,5.304,6.058,6.804,7.07,7.374,7.754,8.65,9.068,9.73,9.944
89,69.4,98,123.2,150.8,153.6,164,176.4,184.6,190.8,194.6,195,4.692,5.81,6.928,8.054,9.148,9.528,10.668,11.38,11.744,12.504,12.69
90,61.2,93,104.2,115.5,121.8,130.4,135.3,138.2,149.4,139.5,139.6,4.378,5.284,5.968,6.492,7.326,7.678,7.944,8.378,8.844,9.19,9.321
91,63,83.4,93.8,96.2,100.4,107.8,111,112,114.6,115,115.6,4.368,5.368,6.028,6.554,7.012,7.374,7.804,7.976,8.506,8.892,9.29
